torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,faltas_local,tiro_esquina_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,faltas_visitante,tiro_esquina_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,valor_mercado_local,altura_media_local,edad_media_local,proporcion_zurdos_local,valor_mercado_visitante,altura_media_visitante,edad_media_visitante,proporcion_zurdos_visitante,resultado,fecha_encuentro,Hora_encuentro,apuesta_local,apuesta_visitante,apuesta_empate
Campeonato 2018/19,3,3,Atl Tucuman,Colon,2,1,49,5,20,9,9,51,3,14,12,8,0,1,0,0,21.9,1.802142857142857,27.69047619047619,0.16666666666666666,43.825,1.7880851063829788,26.170212765957448,0.23404255319148937,L,24/8/2018 00:00,21:15:00,2.55,2.98,2.97
Campeonato 2018/19,3,4,Independiente,Def y Justicia,0,1,70,3,11,14,6,30,3,8,22,3,2,3,0,0,107.65,1.7812765957446808,25.893617021276597,0.1702127659574468,59.825,1.782264150943396,25.88679245283019,0.2641509433962264,V,24/8/2018 00:00,21:15:00,2.34,3.45,2.91
Campeonato 2018/19,3,5,Gimnasia (LP),Talleres (C),0,2,49,6,11,15,9,51,6,14,17,6,2,2,0,0,21.25,1.774,24.82,0.28,47.775,1.7659183673469387,23.897959183673468,0.2653061224489796,V,25/8/2018 00:00,15:30:00,2.62,3.1,2.79
Campeonato 2018/19,3,6,Tigre,San Martin (SJ),2,2,44,3,8,16,4,56,5,16,13,6,2,2,0,0,25.875,1.7823076923076924,27.65,0.275,12.35,1.7753658536585368,28.195121951219512,0.34146341463414637,E,25/8/2018 00:00,17:45:00,1.59,5.97,3.82
Campeonato 2018/19,3,7,River Plate,Argentinos,0,0,67,4,11,7,12,33,4,8,24,5,2,3,0,0,148.575,1.7770454545454546,25.34090909090909,0.20454545454545456,32.525,1.7749019607843137,24.784313725490197,0.19607843137254902,E,25/8/2018 00:00,20:00:00,1.49,7.65,3.83
Campeonato 2018/19,3,8,Velez,Banfield,1,1,67,6,11,20,11,33,1,8,12,6,2,2,0,0,53.3,1.7891176470588235,24.5,0.29411764705882354,30.175,1.7897500000000002,25.25,0.125,E,26/8/2018 00:00,11:00:00,1.96,4.32,3.1
Campeonato 2018/19,3,9,Lanus,Aldosivi,0,1,59,2,14,9,9,41,4,7,21,6,1,5,0,0,54.475,1.7970212765957445,24.93617021276596,0.23404255319148937,17.55,1.7830303030303032,27.11764705882353,0.20588235294117646,V,26/8/2018 00:00,15:30:00,1.84,5.14,3.09
Campeonato 2018/19,3,10,Rosario Central,San Martin (T),2,0,48,6,13,13,5,52,1,12,11,2,1,1,0,0,34.15,1.7823529411764707,24.846153846153847,0.36538461538461536,12.95,1.7870212765957445,27.361702127659573,0.2978723404255319,L,26/8/2018 00:00,17:45:00,1.59,6.4,3.62
Campeonato 2018/19,3,11,Huracan,Boca Juniors,0,0,45,2,15,19,6,55,1,11,13,6,3,1,0,0,33.3,1.7921739130434782,27.291666666666668,0.16666666666666666,201.05,1.7908928571428573,24.875,0.17857142857142858,E,26/8/2018 00:00,20:00:00,4.65,1.93,3.05
Campeonato 2018/19,3,12,Godoy Cruz,Newells,2,1,43,4,13,8,9,57,6,19,8,6,0,1,0,0,41.525,1.7967346938775512,23.11764705882353,0.23529411764705882,24.15,1.7770588235294116,25.372549019607842,0.23529411764705882,L,27/8/2018 00:00,19:00:00,2.13,3.88,3.01
Campeonato 2018/19,3,13,Union,San Lorenzo,1,1,62,9,26,10,7,38,2,6,13,3,2,2,0,0,26.6,1.7907499999999998,25.125,0.175,65.325,1.7807142857142857,25.142857142857142,0.26785714285714285,E,27/8/2018 00:00,21:00:00,1.99,4.38,3.05
Campeonato 2018/19,4,1,Argentinos,Lanus,2,0,39,5,10,14,2,61,2,9,15,5,3,4,0,0,32.525,1.7749019607843137,24.784313725490197,0.19607843137254902,54.475,1.7970212765957445,24.93617021276596,0.23404255319148937,L,31/8/2018 00:00,19:00:00,2.48,3.31,2.83
Campeonato 2018/19,4,2,San Martin (SJ),Huracan,1,2,49,2,17,10,9,51,6,11,14,7,1,6,1,0,12.35,1.7753658536585368,28.195121951219512,0.34146341463414637,33.3,1.7921739130434782,27.291666666666668,0.16666666666666666,V,31/8/2018 00:00,21:00:00,2.75,2.93,2.82
Campeonato 2018/19,4,3,Def y Justicia,Belgrano,1,1,77,5,20,14,11,23,3,9,10,2,1,1,0,0,59.825,1.782264150943396,25.88679245283019,0.2641509433962264,25.9,1.7990384615384616,25.11111111111111,0.2777777777777778,E,1/9/2018 00:00,13:15:00,1.93,4.63,3.06
Campeonato 2018/19,4,4,Banfield,Patronato,1,0,41,6,16,16,5,59,2,7,11,4,2,1,0,0,30.175,1.7897500000000002,25.25,0.125,12.875,1.7982608695652174,27.170212765957448,0.1276595744680851,L,1/9/2018 00:00,15:30:00,1.87,4.96,3.08
Campeonato 2018/19,4,5,Talleres (C),Godoy Cruz,1,0,53,6,15,13,4,47,2,10,16,1,1,2,0,0,47.775,1.7659183673469387,23.897959183673468,0.2653061224489796,41.525,1.7967346938775512,23.11764705882353,0.23529411764705882,L,1/9/2018 00:00,17:45:00,2.07,3.99,3.04
Campeonato 2018/19,4,6,San Lorenzo,River Plate,1,1,50,5,16,12,5,50,3,13,18,3,5,1,1,0,65.325,1.7807142857142857,25.142857142857142,0.26785714285714285,148.575,1.7770454545454546,25.34090909090909,0.20454545454545456,E,1/9/2018 00:00,20:00:00,4.96,1.74,3.5
Campeonato 2018/19,4,7,Racing Club,Rosario Central,2,0,62,6,12,16,6,38,1,6,21,4,2,4,0,0,79.225,1.788,26.24,0.2,34.15,1.7823529411764707,24.846153846153847,0.36538461538461536,L,2/9/2018 00:00,11:00:00,2.01,3.87,3.29
Campeonato 2018/19,4,8,Estudiantes (LP),Independiente,2,2,41,4,6,21,2,59,4,10,20,4,5,6,0,1,32,1.7927659574468087,25.127659574468087,0.19148936170212766,107.65,1.7812765957446808,25.893617021276597,0.1702127659574468,E,2/9/2018 00:00,13:15:00,3.09,2.61,2.83
Campeonato 2018/19,4,9,Aldosivi,Tigre,0,2,60,6,17,22,9,40,3,8,12,4,3,2,0,0,17.55,1.7830303030303032,27.11764705882353,0.20588235294117646,25.875,1.7823076923076924,27.65,0.275,V,2/9/2018 00:00,15:30:00,2.49,3.06,3
Campeonato 2018/19,4,10,Colon,Union,0,0,52,4,7,17,2,48,1,12,19,4,3,4,0,0,43.825,1.7880851063829788,26.170212765957448,0.23404255319148937,26.6,1.7907499999999998,25.125,0.175,E,2/9/2018 00:00,17:45:00,3.08,2.63,2.85
Campeonato 2018/19,4,11,Boca Juniors,Velez,3,0,37,6,9,11,3,63,2,16,12,6,1,1,0,0,201.05,1.7908928571428573,24.875,0.17857142857142858,53.3,1.7891176470588235,24.5,0.29411764705882354,L,2/9/2018 00:00,20:00:00,1.71,5.95,3.31
Campeonato 2018/19,4,12,Newells,Atl Tucuman,1,2,54,4,18,10,5,46,6,14,11,2,1,2,0,0,24.15,1.7770588235294116,25.372549019607842,0.23529411764705882,21.9,1.802142857142857,27.69047619047619,0.16666666666666666,V,3/9/2018 00:00,19:00:00,2.02,4.11,3.13
Campeonato 2018/19,4,13,San Martin (T),Gimnasia (LP),1,1,60,5,13,17,7,40,3,9,16,9,6,5,0,0,12.95,1.7870212765957445,27.361702127659573,0.2978723404255319,21.25,1.774,24.82,0.28,E,3/9/2018 00:00,21:00:00,2.19,3.76,2.98
Campeonato 2018/19,5,1,Estudiantes (LP),Aldosivi,0,2,62,5,13,6,2,38,4,8,14,2,2,2,0,0,32,1.7927659574468087,25.127659574468087,0.19148936170212766,17.55,1.7830303030303032,27.11764705882353,0.20588235294117646,V,14/9/2018 00:00,19:00:00,1.88,5.08,3.03
Campeonato 2018/19,5,2,Atl Tucuman,Tigre,3,0,44,7,12,16,0,56,3,8,4,3,2,0,0,0,21.9,1.802142857142857,27.69047619047619,0.16666666666666666,25.875,1.7823076923076924,27.65,0.275,L,14/9/2018 00:00,21:00:00,2.12,3.89,3.02
Campeonato 2018/19,5,3,Independiente,Colon,3,0,61,6,22,10,8,39,4,10,18,4,0,4,0,1,107.65,1.7812765957446808,25.893617021276597,0.1702127659574468,43.825,1.7880851063829788,26.170212765957448,0.23404255319148937,L,15/9/2018 00:00,13:15:00,2,4.17,3.1
Campeonato 2018/19,5,4,River Plate,San Martin (SJ),4,1,65,4,11,12,7,35,6,18,13,10,3,2,0,1,148.575,1.7770454545454546,25.34090909090909,0.20454545454545456,12.35,1.7753658536585368,28.195121951219512,0.34146341463414637,L,15/9/2018 00:00,15:30:00,1.32,10.25,4.82
Campeonato 2018/19,5,5,Belgrano,Newells,0,0,41,1,10,17,5,59,4,13,18,6,3,3,0,0,25.9,1.7990384615384616,25.11111111111111,0.2777777777777778,24.15,1.7770588235294116,25.372549019607842,0.23529411764705882,E,15/9/2018 00:00,17:45:00,2.32,3.41,3
Campeonato 2018/19,5,6,Argentinos,Boca Juniors,0,1,57,4,18,12,4,43,4,11,16,9,0,1,0,0,32.525,1.7749019607843137,24.784313725490197,0.19607843137254902,201.05,1.7908928571428573,24.875,0.17857142857142858,V,15/9/2018 00:00,20:00:00,3.61,2.19,3.04
Campeonato 2018/19,5,7,Patronato,Gimnasia (LP),0,2,54,5,10,12,3,46,4,14,24,6,3,3,0,0,12.875,1.7982608695652174,27.170212765957448,0.1276595744680851,21.25,1.774,24.82,0.28,V,16/9/2018 00:00,11:00:00,2.57,3.08,2.88
Campeonato 2018/19,5,8,Velez,San Martin (T),1,0,56,4,18,15,8,44,0,10,13,3,2,2,0,0,53.3,1.7891176470588235,24.5,0.29411764705882354,12.95,1.7870212765957445,27.361702127659573,0.2978723404255319,L,16/9/2018 00:00,13:15:00,1.78,5.1,3.3
Campeonato 2018/19,5,9,Union,Talleres (C),2,1,48,5,11,9,5,52,3,9,11,3,2,1,0,1,26.6,1.7907499999999998,25.125,0.175,47.775,1.7659183673469387,23.897959183673468,0.2653061224489796,L,16/9/2018 00:00,15:30:00,2.08,4.14,2.94
Campeonato 2018/19,5,10,Lanus,Racing Club,0,1,42,2,9,17,6,58,4,10,9,5,5,3,0,0,54.475,1.7970212765957445,24.93617021276596,0.23404255319148937,79.225,1.788,26.24,0.2,V,16/9/2018 00:00,17:45:00,3.62,2.12,3.19
Campeonato 2018/19,5,11,Godoy Cruz,San Lorenzo,1,0,48,5,14,13,3,52,2,11,8,6,2,3,0,0,41.525,1.7967346938775512,23.11764705882353,0.23529411764705882,65.325,1.7807142857142857,25.142857142857142,0.26785714285714285,L,16/9/2018 00:00,20:00:00,2.27,3.44,3.04
Campeonato 2018/19,5,12,Huracan,Banfield,3,0,51,5,16,16,4,49,1,10,14,4,3,2,0,0,33.3,1.7921739130434782,27.291666666666668,0.16666666666666666,30.175,1.7897500000000002,25.25,0.125,L,17/9/2018 00:00,19:00:00,2.47,3.31,2.84
Campeonato 2018/19,5,13,Rosario Central,Def y Justicia,0,1,53,2,9,17,1,47,3,9,12,3,1,3,0,0,34.15,1.7823529411764707,24.846153846153847,0.36538461538461536,59.825,1.782264150943396,25.88679245283019,0.2641509433962264,V,17/9/2018 00:00,21:00:00,2.25,3.61,2.92
Campeonato 2018/19,6,1,San Lorenzo,Patronato,3,2,64,4,14,10,7,36,3,8,18,3,3,1,0,0,65.325,1.7807142857142857,25.142857142857142,0.26785714285714285,12.875,1.7982608695652174,27.170212765957448,0.1276595744680851,L,21/9/2018 00:00,19:00:00,1.7,5.68,3.33
Campeonato 2018/19,6,2,Colon,Godoy Cruz,3,1,38,7,16,11,8,62,2,12,14,3,3,1,0,0,43.825,1.7880851063829788,26.170212765957448,0.23404255319148937,41.525,1.7967346938775512,23.11764705882353,0.23529411764705882,L,21/9/2018 00:00,21:00:00,2.67,3.01,2.86
Campeonato 2018/19,6,3,Newells,Lanus,2,0,53,5,17,14,5,47,5,14,16,6,2,0,0,1,24.15,1.7770588235294116,25.372549019607842,0.23529411764705882,54.475,1.7970212765957445,24.93617021276596,0.23404255319148937,L,22/9/2018 00:00,13:15:00,2,4.16,3.13
Campeonato 2018/19,6,4,Talleres (C),Velez,1,1,45,2,9,16,5,55,4,11,13,5,2,2,0,0,47.775,1.7659183673469387,23.897959183673468,0.2653061224489796,53.3,1.7891176470588235,24.5,0.29411764705882354,E,22/9/2018 00:00,15:30:00,2.47,3.29,2.85
Campeonato 2018/19,6,5,Banfield,Independiente,1,1,59,3,11,15,5,41,3,10,13,5,3,4,0,1,30.175,1.7897500000000002,25.25,0.125,107.65,1.7812765957446808,25.893617021276597,0.1702127659574468,E,22/9/2018 00:00,20:00:00,3.67,2.23,2.96
Campeonato 2018/19,6,6,San Martin (T),Argentinos,0,0,49,4,13,14,7,51,2,6,13,3,2,1,0,0,12.95,1.7870212765957445,27.361702127659573,0.2978723404255319,32.525,1.7749019607843137,24.784313725490197,0.19607843137254902,E,23/9/2018 00:00,11:00:00,2.47,3.15,2.95
Campeonato 2018/19,6,7,Tigre,Huracan,0,2,52,3,12,18,9,48,6,11,14,2,3,4,1,0,25.875,1.7823076923076924,27.65,0.275,33.3,1.7921739130434782,27.291666666666668,0.16666666666666666,V,23/9/2018 00:00,11:00:00,2.45,3.11,3.01
Campeonato 2018/19,6,8,San Martin (SJ),Atl Tucuman,1,3,61,2,13,14,7,39,7,12,8,5,2,2,0,0,12.35,1.7753658536585368,28.195121951219512,0.34146341463414637,21.9,1.802142857142857,27.69047619047619,0.16666666666666666,V,23/9/2018 00:00,13:15:00,3.21,2.33,3.14
Campeonato 2018/19,6,9,Gimnasia (LP),Rosario Central,1,1,51,1,12,14,5,49,1,5,15,2,2,2,0,0,21.25,1.774,24.82,0.28,34.15,1.7823529411764707,24.846153846153847,0.36538461538461536,E,23/9/2018 00:00,13:15:00,2.85,2.73,2.9
Campeonato 2018/19,6,10,Boca Juniors,River Plate,0,2,51,3,20,17,6,49,4,6,18,2,5,2,0,0,201.05,1.7908928571428573,24.875,0.17857142857142858,148.575,1.7770454545454546,25.34090909090909,0.20454545454545456,V,23/9/2018 00:00,17:45:00,2.43,3.23,2.97
Campeonato 2018/19,6,11,Aldosivi,Belgrano,2,0,48,3,8,14,4,52,3,10,14,5,0,3,0,0,17.55,1.7830303030303032,27.11764705882353,0.20588235294117646,25.9,1.7990384615384616,25.11111111111111,0.2777777777777778,L,24/9/2018 00:00,18:00:00,2.61,3.04,2.89
Campeonato 2018/19,6,12,Racing Club,Union,1,0,64,4,10,13,8,36,3,15,15,6,1,2,0,0,79.225,1.788,26.24,0.2,26.6,1.7907499999999998,25.125,0.175,L,24/9/2018 00:00,20:00:00,1.77,5.06,3.34
Campeonato 2018/19,6,13,Def y Justicia,Estudiantes (LP),1,1,74,6,26,12,8,26,2,5,14,1,1,3,0,2,59.825,1.782264150943396,25.88679245283019,0.2641509433962264,32,1.7927659574468087,25.127659574468087,0.19148936170212766,E,,,,,
Campeonato 2018/19,7,1,Independiente,Tigre,0,0,56,5,12,13,3,44,5,11,17,3,3,3,0,0,107.65,1.7812765957446808,25.893617021276597,0.1702127659574468,25.875,1.7823076923076924,27.65,0.275,E,28/9/2018 00:00,18:45:00,2.24,3.41,3.07
Campeonato 2018/19,7,2,Lanus,River Plate,1,5,50,5,14,14,7,50,9,15,16,3,1,3,0,0,54.475,1.7970212765957445,24.93617021276596,0.23404255319148937,148.575,1.7770454545454546,25.34090909090909,0.20454545454545456,V,28/9/2018 00:00,21:15:00,3.92,2.03,3.13
Campeonato 2018/19,7,3,Argentinos,Racing Club,0,2,45,1,3,15,4,55,5,14,12,5,2,2,0,0,32.525,1.7749019607843137,24.784313725490197,0.19607843137254902,79.225,1.788,26.24,0.2,V,29/9/2018 00:00,20:00:00,3.77,2.08,3.11
Campeonato 2018/19,7,4,Patronato,Talleres (C),2,1,24,4,8,21,5,76,4,15,12,6,3,3,0,0,12.875,1.7982608695652174,27.170212765957448,0.1276595744680851,47.775,1.7659183673469387,23.897959183673468,0.2653061224489796,L,30/9/2018 00:00,13:15:00,3.51,2.27,2.92
Campeonato 2018/19,7,5,Union,Gimnasia (LP),1,0,48,3,10,17,4,52,1,7,17,7,1,4,0,0,26.6,1.7907499999999998,25.125,0.175,21.25,1.774,24.82,0.28,L,30/9/2018 00:00,15:30:00,1.74,5.4,3.25
Campeonato 2018/19,7,6,Belgrano,Huracan,0,1,52,2,13,19,5,48,1,9,13,1,4,1,1,0,25.9,1.7990384615384616,25.11111111111111,0.2777777777777778,33.3,1.7921739130434782,27.291666666666668,0.16666666666666666,V,30/9/2018 00:00,17:45:00,2.37,3.37,2.88
Campeonato 2018/19,7,7,Boca Juniors,Colon,3,1,49,5,12,12,5,51,3,15,11,6,4,1,0,0,201.05,1.7908928571428573,24.875,0.17857142857142858,43.825,1.7880851063829788,26.170212765957448,0.23404255319148937,L,30/9/2018 00:00,20:00:00,1.65,5.99,3.41
Campeonato 2018/19,7,8,Godoy Cruz,Def y Justicia,0,1,52,1,10,13,3,48,3,6,12,3,0,2,1,0,41.525,1.7967346938775512,23.11764705882353,0.23529411764705882,59.825,1.782264150943396,25.88679245283019,0.2641509433962264,V,1/10/2018 00:00,19:00:00,2.97,2.61,2.9
Campeonato 2018/19,7,9,Velez,Aldosivi,2,0,55,6,12,14,9,45,2,8,13,2,2,1,0,0,53.3,1.7891176470588235,24.5,0.29411764705882354,17.55,1.7830303030303032,27.11764705882353,0.20588235294117646,L,1/10/2018 00:00,21:15:00,1.68,5.89,3.34
Campeonato 2018/19,7,10,San Martin (T),Banfield,1,1,50,4,15,19,3,50,2,12,14,6,2,4,0,1,12.95,1.7870212765957445,27.361702127659573,0.2978723404255319,30.175,1.7897500000000002,25.25,0.125,E,1/10/2018 00:00,21:15:00,2.41,3.33,2.85
Campeonato 2018/19,7,11,Estudiantes (LP),Newells,1,0,47,7,13,14,9,53,4,13,13,6,2,5,0,1,32,1.7927659574468087,25.127659574468087,0.19148936170212766,24.15,1.7770588235294116,25.372549019607842,0.23529411764705882,L,24/10/2018 00:00,19:30:00,2.62,3.07,2.79
Campeonato 2018/19,7,12,San Lorenzo,Atl Tucuman,0,2,73,2,16,5,11,27,2,8,11,4,2,1,0,0,65.325,1.7807142857142857,25.142857142857142,0.26785714285714285,21.9,1.802142857142857,27.69047619047619,0.16666666666666666,V,18/11/2018 00:00,17:10:00,2.44,3.12,2.95
Campeonato 2018/19,7,13,Rosario Central,San Martin (SJ),1,0,55,4,10,8,3,45,3,11,11,5,1,0,0,0,34.15,1.7823529411764707,24.846153846153847,0.36538461538461536,12.35,1.7753658536585368,28.195121951219512,0.34146341463414637,L,27/11/2018 00:00,21:00:00,1.77,4.92,3.38
Campeonato 2018/19,8,1,Aldosivi,San Martin (T),2,0,45,4,13,16,9,55,1,13,14,2,4,2,1,0,17.55,1.7830303030303032,27.11764705882353,0.20588235294117646,12.95,1.7870212765957445,27.361702127659573,0.2978723404255319,L,6/10/2018 00:00,13:15:00,2.2,3.62,2.98
Campeonato 2018/19,8,2,Gimnasia (LP),Godoy Cruz,1,0,54,3,10,20,11,46,5,14,15,8,3,1,2,0,21.25,1.774,24.82,0.28,41.525,1.7967346938775512,23.11764705882353,0.23529411764705882,L,6/10/2018 00:00,15:30:00,2.13,3.89,2.94
Campeonato 2018/19,8,3,San Martin (SJ),Velez,3,1,36,5,11,12,4,64,2,8,16,7,2,2,1,1,12.35,1.7753658536585368,28.195121951219512,0.34146341463414637,53.3,1.7891176470588235,24.5,0.29411764705882354,L,6/10/2018 00:00,17:45:00,3.58,2.19,3.01
Campeonato 2018/19,8,4,Patronato,Independiente,1,2,41,4,22,18,11,59,5,6,13,2,1,2,0,0,12.875,1.7982608695652174,27.170212765957448,0.1276595744680851,107.65,1.7812765957446808,25.893617021276597,0.1702127659574468,V,6/10/2018 00:00,20:00:00,4.97,1.8,3.23
Campeonato 2018/19,8,5,Banfield,San Lorenzo,2,0,43,3,10,14,4,57,3,10,18,5,1,3,0,1,30.175,1.7897500000000002,25.25,0.125,65.325,1.7807142857142857,25.142857142857142,0.26785714285714285,L,7/10/2018 00:00,11:00:00,2.65,2.96,2.84
Campeonato 2018/19,8,6,Atl Tucuman,Lanus,0,0,55,3,10,12,2,45,2,7,14,5,2,2,0,0,21.9,1.802142857142857,27.69047619047619,0.16666666666666666,54.475,1.7970212765957445,24.93617021276596,0.23404255319148937,E,7/10/2018 00:00,13:15:00,1.86,4.42,3.31
Campeonato 2018/19,8,7,Rosario Central,Union,0,4,55,2,7,11,2,45,7,9,9,1,0,1,0,0,34.15,1.7823529411764707,24.846153846153847,0.36538461538461536,26.6,1.7907499999999998,25.125,0.175,V,7/10/2018 00:00,15:00:00,2.94,2.79,2.73
Campeonato 2018/19,8,8,Talleres (C),Belgrano,3,0,66,4,9,12,1,34,2,7,19,5,2,6,0,1,47.775,1.7659183673469387,23.897959183673468,0.2653061224489796,25.9,1.7990384615384616,25.11111111111111,0.2777777777777778,L,7/10/2018 00:00,17:00:00,2.29,3.56,2.86
Campeonato 2018/19,8,9,Racing Club,Boca Juniors,2,2,42,6,14,12,3,58,5,12,14,9,5,5,1,0,79.225,1.788,26.24,0.2,201.05,1.7908928571428573,24.875,0.17857142857142858,E,7/10/2018 00:00,19:00:00,2.28,3.27,3.09
Campeonato 2018/19,8,10,Tigre,Estudiantes (LP),1,0,53,0,7,20,7,47,0,8,13,3,2,2,0,0,25.875,1.7823076923076924,27.65,0.275,32,1.7927659574468087,25.127659574468087,0.19148936170212766,L,8/10/2018 00:00,19:00:00,2.77,2.85,2.8
Campeonato 2018/19,8,11,Colon,Newells,1,0,39,3,12,13,8,61,1,10,8,3,5,2,1,0,43.825,1.7880851063829788,26.170212765957448,0.23404255319148937,24.15,1.7770588235294116,25.372549019607842,0.23529411764705882,L,8/10/2018 00:00,21:00:00,2.41,3.26,2.9
Campeonato 2018/19,8,12,Huracan,Argentinos,0,0,50,3,11,13,8,50,4,11,19,4,2,3,0,0,33.3,1.7921739130434782,27.291666666666668,0.16666666666666666,32.525,1.7749019607843137,24.784313725490197,0.19607843137254902,E,13/12/2018 00:00,21:00:00,2,4.25,3.03
Campeonato 2018/19,8,13,River Plate,Def y Justicia,0,1,66,4,15,14,4,34,4,7,20,3,1,1,0,0,148.575,1.7770454545454546,25.34090909090909,0.20454545454545456,59.825,1.782264150943396,25.88679245283019,0.2641509433962264,V,19/1/2019 00:00,20:00:00,1.78,4.74,3.38
Campeonato 2018/19,9,1,Velez,Gimnasia (LP),1,0,63,5,15,15,5,37,1,4,25,2,2,5,0,1,53.3,1.7891176470588235,24.5,0.29411764705882354,21.25,1.774,24.82,0.28,L,19/10/2018 00:00,19:00:00,1.82,4.83,3.21
Campeonato 2018/19,9,2,Def y Justicia,Talleres (C),2,0,47,4,9,14,5,53,4,10,13,4,0,1,0,0,59.825,1.782264150943396,25.88679245283019,0.2641509433962264,47.775,1.7659183673469387,23.897959183673468,0.2653061224489796,L,19/10/2018 00:00,19:00:00,1.89,4.6,3.13
Campeonato 2018/19,9,3,Colon,River Plate,1,0,35,3,11,16,7,65,7,13,12,6,1,2,0,0,43.825,1.7880851063829788,26.170212765957448,0.23404255319148937,148.575,1.7770454545454546,25.34090909090909,0.20454545454545456,L,19/10/2018 00:00,21:15:00,2.93,2.54,3.01
Campeonato 2018/19,9,4,Godoy Cruz,Aldosivi,2,0,47,4,16,9,7,53,5,9,7,6,0,2,0,0,41.525,1.7967346938775512,23.11764705882353,0.23529411764705882,17.55,1.7830303030303032,27.11764705882353,0.20588235294117646,L,20/10/2018 00:00,13:15:00,1.98,4.39,3
Campeonato 2018/19,9,5,Lanus,Patronato,3,1,68,4,15,10,5,32,2,8,19,2,0,4,0,0,54.475,1.7970212765957445,24.93617021276596,0.23404255319148937,12.875,1.7982608695652174,27.170212765957448,0.1276595744680851,L,20/10/2018 00:00,15:30:00,1.84,4.94,3.14
Campeonato 2018/19,9,6,Boca Juniors,Rosario Central,0,0,66,3,13,9,4,34,2,10,22,5,4,6,0,1,201.05,1.7908928571428573,24.875,0.17857142857142858,34.15,1.7823529411764707,24.846153846153847,0.36538461538461536,E,20/10/2018 00:00,17:45:00,1.62,5.63,3.7
Campeonato 2018/19,9,7,Newells,Tigre,2,0,55,4,9,13,3,45,2,12,11,4,3,2,0,0,24.15,1.7770588235294116,25.372549019607842,0.23529411764705882,25.875,1.7823076923076924,27.65,0.275,L,20/10/2018 00:00,20:00:00,2.15,3.74,3.02
Campeonato 2018/19,9,8,Estudiantes (LP),Atl Tucuman,1,1,35,2,9,16,4,65,4,23,20,7,5,0,1,0,32,1.7927659574468087,25.127659574468087,0.19148936170212766,21.9,1.802142857142857,27.69047619047619,0.16666666666666666,E,21/10/2018 00:00,13:15:00,2.39,3.28,2.92
Campeonato 2018/19,9,9,Argentinos,Union,0,1,64,4,12,12,4,36,3,10,9,3,2,1,0,0,32.525,1.7749019607843137,24.784313725490197,0.19607843137254902,26.6,1.7907499999999998,25.125,0.175,V,21/10/2018 00:00,15:30:00,3.3,2.42,2.85
Campeonato 2018/19,9,10,Independiente,Huracan,3,1,45,9,18,8,2,55,3,10,16,4,2,4,0,0,107.65,1.7812765957446808,25.893617021276597,0.1702127659574468,33.3,1.7921739130434782,27.291666666666668,0.16666666666666666,L,21/10/2018 00:00,17:45:00,1.93,4.37,3.14
Campeonato 2018/19,9,11,San Martin (T),Racing Club,2,1,31,4,8,11,4,69,9,18,14,3,5,4,1,0,12.95,1.7870212765957445,27.361702127659573,0.2978723404255319,79.225,1.788,26.24,0.2,L,21/10/2018 00:00,20:00:00,4.79,1.76,3.48
Campeonato 2018/19,9,12,Belgrano,Banfield,1,1,41,6,12,9,3,59,6,14,13,4,5,2,0,0,25.9,1.7990384615384616,25.11111111111111,0.2777777777777778,30.175,1.7897500000000002,25.25,0.125,E,22/10/2018 00:00,19:00:00,2.59,3.14,2.75
Campeonato 2018/19,9,13,San Lorenzo,San Martin (SJ),2,1,66,5,12,13,2,34,5,13,13,4,1,1,0,0,65.325,1.7807142857142857,25.142857142857142,0.26785714285714285,12.35,1.7753658536585368,28.195121951219512,0.34146341463414637,L,22/10/2018 00:00,21:00:00,1.61,5.92,3.6
Campeonato 2018/19,10,1,Tigre,Lanus,1,1,42,9,18,16,6,58,5,10,9,4,2,3,0,0,25.875,1.7823076923076924,27.65,0.275,54.475,1.7970212765957445,24.93617021276596,0.23404255319148937,E,26/10/2018 00:00,19:00:00,2.25,3.5,2.97
Campeonato 2018/19,10,2,Huracan,Colon,3,2,53,6,13,13,1,47,4,13,18,4,3,2,1,0,33.3,1.7921739130434782,27.291666666666668,0.16666666666666666,43.825,1.7880851063829788,26.170212765957448,0.23404255319148937,L,26/10/2018 00:00,21:00:00,2.3,3.55,2.87
Campeonato 2018/19,10,3,River Plate,Aldosivi,1,0,51,3,12,17,6,49,1,9,14,3,4,2,1,1,148.575,1.7770454545454546,25.34090909090909,0.20454545454545456,17.55,1.7830303030303032,27.11764705882353,0.20588235294117646,L,27/10/2018 00:00,15:00:00,1.54,6.7,3.73
Campeonato 2018/19,10,4,Gimnasia (LP),Boca Juniors,2,1,39,5,13,20,6,61,4,10,18,4,2,5,0,0,21.25,1.774,24.82,0.28,201.05,1.7908928571428573,24.875,0.17857142857142858,L,27/10/2018 00:00,17:15:00,3.13,2.47,2.95
Campeonato 2018/19,10,5,Union,Godoy Cruz,0,3,64,2,13,11,6,36,4,7,20,3,3,2,0,0,26.6,1.7907499999999998,25.125,0.175,41.525,1.7967346938775512,23.11764705882353,0.23529411764705882,V,27/10/2018 00:00,20:30:00,1.69,5.74,3.33
